tx_id,account_id,amount,timestamp,channel,is_fraud_label
TX_0,ACC_377,7000.0,2025-02-24 13:40:07,Web,0
TX_1,ACC_607,2661.1011077479807,2025-01-19 16:49:46,Mobile,0
TX_2,ACC_709,459.4578531228192,2025-09-08 10:34:32,ATM,0
TX_3,ACC_811,1199.8952436136142,2025-12-13 10:42:30,Web,0
TX_4,ACC_382,0.45,2026-01-27 23:10:37,Web,1
TX_5,ACC_382,12953.545009475805,2026-01-28 02:10:37,Web,1
TX_6,ACC_526,799.4037280662935,2026-02-16 06:07:04,ATM,0
TX_7,ACC_892,1866.6631706728417,2026-04-15 06:26:54,Web,0
TX_8,ACC_779,16.257621555336474,2025-12-06 12:31:08,Mobile,0
TX_9,ACC_809,3527.8115392498853,2026-03-27 01:55:02,ATM,0
TX_10,ACC_995,240.09694817377644,2025-07-29 05:24:26,Web,0
TX_11,ACC_455,1.0,2025-10-15 08:17:02,Web,1
TX_12,ACC_455,12542.96329931487,2025-10-15 09:17:02,Web,1
TX_13,ACC_685,1557.7732604763019,2025-08-27 09:16:11,ATM,0
TX_14,ACC_572,3025.0766683291076,2026-03-16 08:53:13,Web,0
TX_15,ACC_926,1161.732410697084,2025-02-02 01:52:33,ATM,0
TX_16,ACC_957,2076.5536671670798,2025-01-01 07:56:15,Web,0
TX_17,ACC_284,880.8702221391624,2025-02-16 07:04:02,Mobile,0
TX_18,ACC_586,2254.40112099138,2025-05-08 13:28:45,Mobile,0
TX_19,ACC_897,1699.2160154574797,2025-01-27 00:53:43,Web,0
TX_20,ACC_715,262.6654959870066,2025-10-18 04:21:26,ATM,0
TX_21,ACC_792,1786.9414879249746,2025-07-20 19:39:00,Web,0
TX_22,ACC_819,4003.861823559743,2025-08-18 22:40:22,Mobile,0
TX_23,ACC_266,614.953439548508,2025-12-01 06:54:54,ATM,0
TX_24,ACC_485,298.67494720271776,2025-10-19 20:17:34,Mobile,0
TX_25,ACC_818,1022.2363979642846,2025-01-23 10:26:57,Web,0
TX_26,ACC_451,4147.508113967626,2025-12-24 19:09:18,Web,0
TX_27,ACC_792,952.2738628603915,2026-02-22 06:39:14,Web,0
TX_28,ACC_401,543.0569333619866,2025-10-15 12:54:37,Web,0
TX_29,ACC_371,508.83723025139267,2025-11-21 21:34:43,Mobile,0
TX_30,ACC_804,575.256245578092,2025-03-18 17:32:18,Mobile,0
TX_31,ACC_494,1427.478721976555,2025-07-03 07:55:01,ATM,0
TX_32,ACC_273,125.02837165327983,2025-05-01 07:52:16,ATM,0
TX_33,ACC_198,1412.0078434251118,2025-08-28 19:19:53,Mobile,0
TX_34,ACC_619,3533.3206036817705,2025-02-05 12:00:14,Mobile,0
TX_35,ACC_442,4695.908060725606,2025-09-06 19:15:45,Mobile,0
TX_36,ACC_535,1530.794519378863,2026-01-13 23:13:22,ATM,0
TX_37,ACC_90,3268.574099847651,2025-05-07 04:12:00,Mobile,1
TX_38,ACC_90,2857.015675746616,2025-05-07 04:18:00,Mobile,1
TX_39,ACC_90,2576.1645834837773,2025-05-07 04:24:00,Mobile,1
TX_40,ACC_90,4188.366924260935,2025-05-07 04:27:00,Mobile,1
TX_41,ACC_0,2707.6953446755565,2025-04-05 07:12:51,Web,0
TX_42,ACC_357,803.0720780521965,2025-11-08 11:18:41,ATM,0
TX_43,ACC_351,2861.563621593157,2026-01-07 14:11:55,Web,0
TX_44,ACC_164,1316.1866883616503,2025-03-05 08:14:01,Mobile,0
TX_45,ACC_921,876.3077833290739,2025-11-03 19:25:09,ATM,0
TX_46,ACC_710,88.34221861219906,2025-07-18 20:33:53,ATM,0
TX_47,ACC_781,2060.024648751796,2025-09-20 18:32:00,Web,0
TX_48,ACC_364,951.3141750964159,2025-07-05 19:05:35,ATM,0
TX_49,ACC_30,1329.8232952726344,2025-09-11 11:46:44,ATM,0
TX_50,ACC_525,1549.6741993066496,2025-06-17 08:10:50,Web,0
TX_51,ACC_102,187.1996275325834,2025-04-02 21:16:10,ATM,0
TX_52,ACC_812,170.01989232911274,2025-09-04 04:08:33,Web,0
TX_53,ACC_562,1144.1293917021967,2025-11-19 06:54:43,ATM,0
TX_54,ACC_5,530.697084201321,2025-10-12 02:33:20,ATM,0
TX_55,ACC_463,40.00573641007287,2025-05-28 18:42:56,Web,0
TX_56,ACC_836,0.45,2025-05-18 14:26:25,Web,1
TX_57,ACC_836,11824.861441267032,2025-05-18 15:26:25,Web,1
TX_58,ACC_547,2425.502151706255,2025-03-14 22:59:05,Web,0
TX_59,ACC_146,943.1721972843939,2026-01-26 05:47:47,Mobile,0
TX_60,ACC_265,697.8139673010145,2025-11-15 11:48:14,Mobile,0
TX_61,ACC_630,801.7548246415341,2025-09-03 06:04:43,Mobile,0
TX_62,ACC_146,1963.4874785513318,2025-11-17 14:45:26,Mobile,0
